crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
1414,"food & beverage, fuels, material, medicinal, poison","digestive system applications, dye/tannin, fish, fuelwood, immune system applications, insects, mammals, minerals, skin applications, timber wood, vitamins","bark, exudates, flowers, fruits, leaves, seeds, stems"
1416,"animal food (feed), food & beverage, fuels, material, medicinal","blood system applications, charcoal, digestive system applications, dye/tannin, fuelwood, immune system applications, minerals, muscular/skeletal applications, skin applications, timber wood, vitamins","bark, fruits, leaves, seeds, stems"
14194,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1420,"animal food (feed), food & beverage, fuels","alcohol, minerals, petroleum substitutes/alcohol, protein, starch","leaves, roots"
1428,"animal food (feed), environmental, food & beverage, fuels, material","dye/tannin, erosion control, fibres, lipids/oil & fats, minerals, non-wood fuel, pollution control, protein, soil improvers, vitamins","bark, entire plant, leaves, seedlings, seeds"
1430,"environmental, fuels, material, medicinal","erosion control, fuelwood, honey, ornamental/turf, shade & shelter, timber wood, Unspecified","bark, entire plant, flowers, Unspecified"
1431,"environmental, fuels, material, medicinal","agroforestry, charcoal, erosion control, essential oils, fuelwood, honey, ornamental/turf, paper, timber wood, Unspecified, windbreak","bark, entire plant, flowers, leaves"
1433,"environmental, fuels, material, medicinal","erosion control, essential oils, fuelwood, honey, ornamental/turf, revegetation, shade & shelter, Unspecified","bark, entire plant, flowers, leaves"
1436,food & beverage,"minerals, vitamins",fruits
1437,"animal food (feed), environmental, material, poison","erosion control, essential oils, insects, minerals, pioneer, vitamins","entire plant, leaves"
1448,"food additive, material, medicinal","condiment/seasoning, essential oils, Unspecified",leaves
14639,"environmental, food & beverage, medicinal","nutritional applications, ornamental/turf, vitamins","entire plant, fruits"
1466,"animal food (feed), environmental, food & beverage, fuels, material","alcohol, fibres, fuelwood, minerals, petroleum substitutes/alcohol, shade & shelter, starch, timber wood","bark, entire plant, fruits, leaves"
1472,animal food (feed),"minerals, vitamins",entire plant
1478,"animal food (feed), environmental","minerals, soil improvers, vitamins",entire plant
148253,"food & beverage, material, medicinal","dye/tannin, fibres, minerals, timber wood, Unspecified, vitamins","bark, fruits, leaves, Unspecified"
148275,"environmental, medicinal","ornamental/turf, Unspecified","entire plant, flowers, leaves, roots"
148305,animal food (feed),"minerals, vitamins",entire plant
148306,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1485,"environmental, food & beverage, medicinal","minerals, ornamental/turf, Unspecified, vitamins","bark, entire plant, leaves, Unspecified"
1488,"environmental, food & beverage, fuels, material, medicinal, poison","dye/tannin, fuelwood, mammals, minerals, pioneer, support, Unspecified, vitamins","bark, entire plant, fruits, leaves, roots"
148964,"food & beverage, poison","mammals, minerals, vitamins","bark, fruits, leaves, roots"
148966,"food & beverage, material, poison","gums/resins, mammals, minerals, starch, vitamins","bark, fruits, leaves, roots, seeds"
148967,"animal food (feed), food & beverage","minerals, protein, starch, vitamins","bark, leaves, roots"
148974,"environmental, food & beverage, medicinal","immune system applications, minerals, ornamental/turf, vitamins","entire plant, fruits, seeds"
149006,"food & beverage, poison","birds, mammals, minerals, vitamins","flowers, fruits, leaves, roots, stems"
1491,"animal food (feed), environmental, food & beverage, material, medicinal, non-vertebrate food","blood system applications, digestive system applications, dye/tannin, erosion control, essential oils, immune system applications, minerals, ornamental/turf, paper, respiratory applications, sensory applications, shade & shelter, skin applications, soil improvers, timber wood, vitamins","bark, entire plant, fruits, leaves, stems"
1500,"environmental, food & beverage, fuels, material, medicinal","fibres, fuelwood, immune system applications, minerals, ornamental/turf, paper, sensory applications, shade & shelter, vitamins","bark, entire plant, flowers, fruits, leaves, stems"
1503,food & beverage,"minerals, vitamins",fruits
1506,material,"fibres, paper",leaves
1514,"environmental, food additive, material, medicinal, poison","agroforestry, condiment/seasoning, essential oils, mammals, Unspecified","entire plant, seeds"
1522,"animal food (feed), food & beverage, medicinal","blood system applications, minerals, respiratory applications, vitamins",entire plant
1524,"animal food (feed), environmental, fuels, material, medicinal","digestive system applications, fuelwood, genitourinary system applications, minerals, shade & shelter, timber wood, vitamins","bark, entire plant, leaves, stems"
1528,"environmental, food & beverage, material, medicinal","agroforestry, digestive system applications, dye/tannin, lipids, lipids/oil & fats, manure/fertilizer, minerals, ornamental/turf, sensory applications, shade & shelter, skin applications, timber wood, Unspecified, vitamins","bark, bulbs, entire plant, fruits, leaves, seeds, stems"
1531,"environmental, medicinal, poison","blood system applications, mammals, ornamental/turf","entire plant, leaves"
1534,"material, poison, social","essential oils, insects, smoking material",leaves
1543,"environmental, food & beverage, food additive","agroforestry, minerals, shade & shelter, sweetener, vitamins","entire plant, fruits, seeds, Unspecified"
15430,"environmental, medicinal","blood system applications, immune system applications, ornamental/turf, skin applications",entire plant
1547,"environmental, food & beverage, material, medicinal","agroforestry, digestive system applications, endocrine system applications, essential oils, minerals, nervous system applications",entire plant
1553,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","blood system applications, digestive system applications, fuelwood, lipids/oil & fats, minerals, ornamental/turf, respiratory applications, skin applications, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves"
15579,"environmental, medicinal","digestive system applications, skin applications, Unspecified","entire plant, flowers, leaves, roots"
15627,animal food (feed),"protein, vitamins",entire plant
1574,"food & beverage, fuels, material","fibres, lipids/oil & fats, non-wood fuel, other material/chemicals, paper, starch, vitamins","leaves, seeds"
15753,"animal food (feed), environmental","cover crop, erosion control, minerals, vitamins",entire plant
15772,"food & beverage, medicinal","digestive system applications, skin applications, vitamins","entire plant, leaves"
15774,medicinal,"blood system applications, digestive system applications, skin applications",entire plant
15781,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1582,"animal food (feed), environmental, food & beverage, poison","fish, insects, mammals, manure/fertilizer, minerals, protein, vitamins","bark, entire plant, fruits, leaves, roots"
15820,"animal food (feed), environmental, fuels, material, medicinal, poison","dental applications, digestive system applications, fuelwood, genitourinary system applications, honey, mammals, minerals, ornamental/turf, protein, respiratory applications, sensory applications, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, exudates, flowers, fruits, leaves, roots, stems"
15851,medicinal,"digestive system applications, muscular/skeletal applications","leaves, roots"
1602,"animal food (feed), food & beverage","minerals, starch, vitamins","entire plant, seeds"
1603,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1605,"animal food (feed), fuels","alcohol, minerals, petroleum substitutes/alcohol, vitamins","bark, entire plant"
16098,"environmental, food & beverage, medicinal","genitourinary system applications, ornamental/turf, starch, Unspecified","entire plant, leaves, seeds"
16100,"animal food (feed), environmental, fuels, material, medicinal","agroforestry, digestive system applications, dye/tannin, endocrine system applications, fuelwood, living fence, manure/fertilizer, minerals, muscular/skeletal applications, ornamental/turf, paper, respiratory applications, shade & shelter, timber wood, vitamins","bark, entire plant, leaves, stems"
16152,"material, medicinal","blood system applications, digestive system applications, dye/tannin, immune system applications",roots
1617,"animal food (feed), environmental, food & beverage, fuels","agroforestry, charcoal, erosion control, fuelwood, living fence, minerals, ornamental/turf, protein, shade & shelter, vitamins","bark, entire plant, fruits, leaves, seeds"
16203,"food & beverage, material, medicinal, poison","cosmetics & perfumery, digestive system applications, immune system applications, mammals, minerals, nutritional applications, timber wood, vitamins","bark, fruits, seeds, stems"
1623,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
16275,"environmental, material","erosion control, ornamental/turf, timber wood","bark, entire plant"
16277,"animal food (feed), environmental, fuels","erosion control, fuelwood, minerals, ornamental/turf, vitamins","bark, entire plant, leaves"
1628,"animal food (feed), environmental","cover crop, minerals, vitamins",entire plant
1630,"animal food (feed), food & beverage","minerals, protein, starch, vitamins","entire plant, seeds"
1634,"environmental, food & beverage","agroforestry, minerals, vitamins","entire plant, fruits"
1637,"food & beverage, poison","mammals, minerals, vitamins","fruits, leaves"
1638,"animal food (feed), environmental, food & beverage, material","honey, minerals, ornamental/turf, vitamins","entire plant, flowers, fruits"
1639,"food & beverage, medicinal, poison","digestive system applications, genitourinary system applications, mammals, minerals, nervous system applications, nutritional applications, skin applications, starch, vitamins","fruits, leaves, roots, seeds"
1642,"food & beverage, food additive, medicinal","condiment/seasoning, minerals, Unspecified, vitamins","leaves, roots, Unspecified"
1649,"animal food (feed), environmental","erosion control, minerals, ornamental/turf, protein, vitamins",entire plant
1650,"animal food (feed), environmental",Unspecified,entire plant
1651,"animal food (feed), environmental, fuels, material","erosion control, fibres, living fence, minerals, non-wood fuel, vitamins, windbreak","bark, entire plant"
16538,"animal food (feed), environmental, fuels, material, medicinal","charcoal, minerals, muscular/skeletal applications, nervous system applications, ornamental/turf, skin applications, timber wood, vitamins","bark, entire plant, leaves, stems"
1659,"animal food (feed), environmental, food & beverage, material, medicinal, poison","agroforestry, blood system applications, cosmetics & perfumery, digestive system applications, mammals, minerals, protein, skin applications, timber wood, vitamins","bark, entire plant, fruits, leaves, seeds"
16595,"environmental, food & beverage","ornamental/turf, Unspecified","entire plant, leaves"
1661,"food additive, material, medicinal","condiment/seasoning, digestive system applications, endocrine system applications, essential oils, skin applications","entire plant, leaves"
1665,"animal food (feed), environmental, food & beverage","agroforestry, erosion control, minerals, ornamental/turf, protein, soil improvers, vitamins","entire plant, flowers, roots, seeds"
1666,"animal food (feed), environmental, food & beverage, food additive, material, medicinal, poison","condiment/seasoning, erosion control, fibres, mammals, minerals, ornamental/turf, protein, soil improvers, Unspecified, vitamins","bark, entire plant, leaves, seeds"
1668,"animal food (feed), food & beverage, medicinal","blood system applications, digestive system applications, genitourinary system applications, minerals, muscular/skeletal applications, nervous system applications, protein, skin applications, vitamins","entire plant, fruits, leaves, seeds"
16717,"environmental, medicinal","blood system applications, ornamental/turf, skin applications",entire plant
1673,"animal food (feed), environmental, food & beverage, food additive, fuels, material","agroforestry, erosion control, fibres, fuelwood, manure/fertilizer, minerals, revegetation, shade & shelter, sweetener, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves, seeds, unspecified part"
1676,animal food (feed),"minerals, vitamins",entire plant
1686,food & beverage,"minerals, vitamins",fruits
1689,"environmental, food & beverage, food additive, material","agroforestry, condiment/seasoning, lipids/oil & fats, minerals, vitamins","entire plant, fruits, leaves, seeds"
1691,"environmental, fuels, material","dye/tannin, erosion control, fuelwood, gums/resins, paper, revegetation","bark, entire plant, exudates, leaves, stems"
16985,medicinal,"digestive system applications, immune system applications, metabolic system applications",flowers
1700,"fuels, material","fuelwood, gums/resins, timber wood","bark, exudates"
1701,material,timber wood,bark
17012,"environmental, food & beverage, medicinal","immune system applications, ornamental/turf, starch","bark, buds, entire plant, leaves"
1702,material,timber wood,bark
1703,"fuels, material","fuelwood, paper, timber wood",bark
1704,"fuels, material","fuelwood, timber wood",bark
1705,"environmental, fuels, material","erosion control, fuelwood, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant"
1708,"environmental, material","erosion control, mulch, ornamental/turf, revegetation, shade & shelter, timber wood","bark, entire plant, stems"
1710,"environmental, material, medicinal","gums/resins, ornamental/turf, Unspecified","entire plant, fruits, leaves, Unspecified"
1713,medicinal,"blood system applications, metabolic system applications, muscular/skeletal applications, nervous system applications, respiratory applications, sensory applications",roots
17131,"food & beverage, material, medicinal","digestive system applications, dye/tannin, genitourinary system applications, metabolic system applications, skin applications, vitamins",leaves
1714,"environmental, food additive, material, medicinal","agroforestry, condiment/seasoning, essential oils, metabolic system applications","entire plant, fruits"
17152,"food & beverage, medicinal","blood system applications, digestive system applications, muscular/skeletal applications, skin applications, vitamins","bark, roots"
17162,"fuels, material, medicinal","fuelwood, timber wood, Unspecified","bark, Unspecified"
1721,"animal food (feed), food & beverage, material, medicinal","cosmetics & perfumery, minerals, nutritional applications, protein, skin applications, vitamins","entire plant, leaves, seeds"
17278,"animal food (feed), environmental, food & beverage, medicinal","immune system applications, lipids, muscular/skeletal applications, ornamental/turf, protein, skin applications, starch, Unspecified","entire plant, fruits, seeds"
1732,medicinal,"blood system applications, immune system applications, respiratory applications, skin applications",leaves
1733,"animal food (feed), material, medicinal","blood system applications, cosmetics & perfumery, digestive system applications, immune system applications, respiratory applications, skin applications, vitamins","exudates, leaves, seeds"
17405,"environmental, material, medicinal","aromatics, blood system applications, cosmetics & perfumery, essential oils, muscular/skeletal applications, nervous system applications, ornamental/turf","entire plant, roots"
17435,"medicinal, social","muscular/skeletal applications, respiratory applications, sensory applications, skin applications, smoking material","flowers, leaves, seeds"
17507,"animal food (feed), environmental, food & beverage","minerals, protein, soil improvers, vitamins","entire plant, seeds"
1763,"environmental, food additive, material","agroforestry, condiment/seasoning, essential oils","entire plant, leaves, unspecified part"
17633,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, non-vertebrate food, poison","agroforestry, charcoal, digestive system applications, dye/tannin, fish, fuelwood, living fence, minerals, respiratory applications, shade & shelter, skin applications, timber wood, vitamins","bark, entire plant, fruits, leaves, roots, seeds, stems"
17643,"animal food (feed), food & beverage",Unspecified,"entire plant, fruits"
17644,"environmental, food & beverage","agroforestry, lipids, minerals, vitamins","entire plant, fruits"
17645,"environmental, food & beverage, material, poison","agroforestry, lipids/oil & fats, mammals, minerals, vitamins","entire plant, fruits"
17646,"environmental, food & beverage, material, poison","agroforestry, lipids/oil & fats, mammals, minerals, vitamins","entire plant, fruits"
17647,animal food (feed),"minerals, vitamins",entire plant
17648,"environmental, fuels, material","charcoal, dye/tannin, fuelwood, honey, ornamental/turf, paper, revegetation, shade & shelter, timber wood, windbreak","bark, entire plant, flowers, stems"
17649,"fuels, material","fuelwood, timber wood",bark
17650,"animal food (feed), food & beverage","minerals, protein, vitamins","bark, leaves"
17651,"animal food (feed), environmental, food & beverage","manure/fertilizer, minerals, protein, vitamins","entire plant, fruits, seeds"
17652,"environmental, fuels, material","fuelwood, shade & shelter, timber wood","bark, entire plant"
17653,material,timber wood,bark
17654,material,timber wood,entire plant
17655,material,timber wood,bark
17656,food & beverage,"minerals, vitamins",entire plant
17657,"material, medicinal, poison","mammals, timber wood, Unspecified","bark, fruits"
17660,medicinal,digestive system applications,"leaves, roots"
17664,food & beverage,"starch, vitamins",roots
17796,"environmental, material","agroforestry, honey, living fence, manure/fertilizer, nitrogen fixation, ornamental/turf, paper, pioneer, revegetation, timber wood","bark, entire plant, flowers, leaves, roots"
17797,"animal food (feed), environmental, food & beverage, medicinal","erosion control, minerals, nervous system applications, nutritional applications, protein, skin applications, vitamins","bulbs, entire plant, leaves, seeds"
17807,"environmental, fuels, material","charcoal, dye/tannin, fuelwood, shade & shelter, soil improvers","bark, entire plant, Unspecified"
1781,"environmental, fuels, material, medicinal","dye/tannin, erosion control, fibres, fuelwood, honey, lipids/oil & fats, petroleum substitutes/alcohol, skin applications, timber wood","bark, flowers, roots, seeds, stems"
17836,"food & beverage, material, medicinal","cosmetics & perfumery, digestive system applications, dye/tannin, metabolic system applications, respiratory applications, skin applications, vitamins","entire plant, leaves, roots"
1784,"animal food (feed), environmental, food & beverage, food additive, medicinal","condiment/seasoning, digestive system applications, endocrine system applications, nutritional applications, ornamental/turf, vitamins","entire plant, leaves"
17895,"medicinal, poison","digestive system applications, mammals, muscular/skeletal applications","entire plant, roots"
1793,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","bacteria, digestive system applications, erosion control, fuelwood, gums/resins, honey, minerals, nitrogen fixation, ornamental/turf, protein, vitamins","bark, entire plant, exudates, flowers, fruits, leaves, roots, stems"
1796,"environmental, food & beverage","agroforestry, minerals, ornamental/turf, vitamins","entire plant, fruits"
1803,"environmental, food & beverage","living fence, minerals, ornamental/turf, vitamins","entire plant, fruits"
1804,"environmental, food & beverage, material, medicinal, poison","agroforestry, bacteria, blood system applications, digestive system applications, dye/tannin, essential oils, genitourinary system applications, honey, immune system applications, insects, minerals, ornamental/turf, pollution control, respiratory applications, skin applications, support, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, stems"
1807,"animal food (feed), environmental, food & beverage, material","agroforestry, cover crop, erosion control, lipids/oil & fats, manure/fertilizer, minerals, nitrogen fixation, protein, vitamins","bark, bulbs, entire plant, flowers, fruits, leaves, roots, seeds"
18072,medicinal,"blood system applications, digestive system applications, genitourinary system applications, immune system applications, muscular/skeletal applications",flowers
1817,"environmental, food & beverage, material, medicinal","dye/tannin, minerals, ornamental/turf, shade & shelter, timber wood, Unspecified, vitamins","bark, entire plant, flowers, leaves, stems"
18201,"animal food (feed), food & beverage",Unspecified,"bark, leaves"
18215,"animal food (feed), environmental, food & beverage, medicinal","ornamental/turf, Unspecified",entire plant
1822,"animal food (feed), environmental, food & beverage","cover crop, erosion control, manure/fertilizer, minerals, ornamental/turf, soil improvers, starch, vitamins","entire plant, leaves, roots"
1824,"animal food (feed), environmental, food & beverage, material","erosion control, fibres, minerals, protein, soil improvers, Unspecified, vitamins","entire plant, roots, Unspecified"
1829,"food & beverage, material, medicinal, poison","blood system applications, digestive system applications, dye/tannin, insects, mammals, minerals, muscular/skeletal applications, timber wood, vitamins","bark, flowers, fruits, leaves, roots, seeds, stems"
1832,"food & beverage, material","minerals, timber wood, vitamins","bark, fruits"
18325,"food & beverage, medicinal","blood system applications, digestive system applications, skin applications, vitamins","entire plant, leaves"
18352,"environmental, food additive, material, medicinal","blood system applications, condiment/seasoning, cosmetics & perfumery, digestive system applications, endocrine system applications, metabolic system applications, ornamental/turf, respiratory applications",entire plant
1839,food & beverage,"minerals, vitamins","leaves, roots, seedlings"
1848,"fuels, material, medicinal","charcoal, dye/tannin, fuelwood, timber wood, Unspecified","bark, stems"
18480,animal food (feed),"protein, vitamins",entire plant
1849,"environmental, fuels, material, medicinal","charcoal, dye/tannin, erosion control, fuelwood, timber wood, Unspecified","bark, entire plant, stems"
1851,fuels,"charcoal, fuelwood",bark
1866,"animal food (feed), environmental, fuels, material","dye/tannin, fibres, lipids/oil & fats, ornamental/turf, petroleum substitutes/alcohol, soil improvers, vitamins, waxes","bark, entire plant, leaves, seeds"
1877,"food & beverage, material, medicinal","blood system applications, cosmetics & perfumery, digestive system applications, essential oils, immune system applications, minerals, nutritional applications, vitamins","fruits, leaves, roots, seeds"
1881,"food & beverage, medicinal","minerals, Unspecified, vitamins","fruits, roots"
1883,food & beverage,"minerals, vitamins",flowers
1884,"animal food (feed), food & beverage, food additive, fuels, material","alcohol, condiment/seasoning, fibres, minerals, paper, petroleum substitutes/alcohol, sweetener","bark, flowers, stems"
1885,"animal food (feed), environmental, food & beverage, food additive, fuels, material","fibres, manure/fertilizer, minerals, non-wood fuel, paper, sweetener, vitamins, waxes","bark, entire plant, fruits, seeds"
1887,"animal food (feed), food & beverage, food additive, fuels, material","fibres, fuelwood, minerals, sweetener, vitamins, waxes","bark, entire plant, fruits, seeds"
1894,"animal food (feed), environmental, food & beverage, fuels, material","agroforestry, fuelwood, gums/resins, minerals, nitrogen fixation, ornamental/turf, protein, shade & shelter, timber wood, vitamins","bark, entire plant, fruits, leaves, roots, seeds, stems"
1929,"animal food (feed), environmental, food & beverage, material","cover crop, fibres, minerals, paper, protein, soil improvers, starch, vitamins","bark, entire plant, seeds"
1930,"animal food (feed), food & beverage, medicinal","blood system applications, digestive system applications, minerals, starch","bark, fruits, leaves, roots"
1937,"animal food (feed), food & beverage, fuels, material","charcoal, lipids/oil & fats, minerals, non-wood fuel, vitamins","bark, leaves, seeds"
1938,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","agroforestry, dye/tannin, erosion control, fibres, fuelwood, gums/resins, living fence, manure/fertilizer, minerals, nitrogen fixation, ornamental/turf, paper, revegetation, shade & shelter, support, timber wood, Unspecified, vitamins, windbreak","bark, entire plant, exudates, flowers, fruits, leaves, roots, stems"
1947,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1948,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
1961,"food & beverage, medicinal","minerals, Unspecified, vitamins","fruits, leaves"
1965,"food & beverage, medicinal","blood system applications, protein, skin applications, vitamins","fruits, leaves"
1966,"food & beverage, medicinal, poison","mammals, minerals, nervous system applications, skin applications, vitamins","entire plant, fruits, leaves"
1968,"environmental, food & beverage","minerals, ornamental/turf, vitamins","entire plant, fruits"
196860,"environmental, material","erosion control, ornamental/turf, shade & shelter, timber wood","bark, entire plant"
1970,"food & beverage, medicinal","minerals, Unspecified, vitamins","fruits, roots"
1971,"animal food (feed), food & beverage, fuels, medicinal, poison","alcohol, immune system applications, mammals, minerals, muscular/skeletal applications, petroleum substitutes/alcohol, skin applications, starch, vitamins","fruits, leaves, roots"
197462,animal food (feed),"protein, vitamins",entire plant
197464,"animal food (feed), environmental","manure/fertilizer, minerals, vitamins",entire plant
197471,"animal food (feed), environmental","cover crop, manure/fertilizer, nitrogen fixation, pioneer, protein, vitamins",entire plant
197703,"environmental, food & beverage","minerals, ornamental/turf, protein, vitamins","entire plant, fruits, seeds"
1978,"food & beverage, food additive, fuels, material, medicinal","dye/tannin, fuelwood, minerals, starch, timber wood, Unspecified, vitamins","bark, fruits, leaves, stems"
197937,"animal food (feed), environmental, fuels, material, medicinal","fuelwood, honey, living fence, minerals, ornamental/turf, shade & shelter, timber wood, Unspecified, vitamins","bark, entire plant, flowers, leaves"
198033,"food & beverage, food additive","condiment/seasoning, vitamins",fruits
1982,"animal food (feed), food & beverage, food additive, fuels, material","alcohol, canes, dye/tannin, fibres, minerals, petroleum substitutes/alcohol, starch, sweetener","bark, leaves, seeds"
1983,animal food (feed),"minerals, vitamins",entire plant
198891,"environmental, medicinal","blood system applications, digestive system applications, genitourinary system applications, metabolic system applications, muscular/skeletal applications, ornamental/turf, sensory applications, skin applications","entire plant, flowers, leaves, roots, seeds"
1990,animal food (feed),"minerals, vitamins",entire plant
1991,"animal food (feed), environmental, food & beverage, medicinal, poison","agroforestry, digestive system applications, immune system applications, living fence, mammals, minerals, ornamental/turf, pioneer, revegetation, shade & shelter, vitamins","entire plant, fruits, leaves, seeds, stems"
1997,food & beverage,"minerals, vitamins",leaves
199708,"environmental, material, medicinal, poison","fibres, latex/rubber, mammals, ornamental/turf, pollution control, skin applications","bark, entire plant, leaves, sap, seeds, stems"
199890,"environmental, medicinal","genitourinary system applications, metabolic system applications, nervous system applications, ornamental/turf","entire plant, roots"
2000,"animal food (feed), food & beverage, medicinal","blood system applications, digestive system applications, minerals, skin applications, vitamins","fruits, leaves, stems"
200000,animal food (feed),"protein, vitamins",entire plant
2002,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","blood system applications, digestive system applications, dye/tannin, fuelwood, genitourinary system applications, gums/resins, honey, immune system applications, living fence, minerals, respiratory applications, shade & shelter, skin applications, timber wood, Unspecified, vitamins","bark, entire plant, exudates, flowers, fruits, leaves, roots, stems"
2012,"animal food (feed), environmental","erosion control, minerals, ornamental/turf, pioneer, vitamins",entire plant
2018,"animal food (feed), environmental","agroforestry, erosion control, minerals, nitrogen fixation, revegetation, vitamins",entire plant
2020,animal food (feed),minerals,entire plant
2022,"environmental, material","agroforestry, dye/tannin, erosion control, lipids/oil & fats, ornamental/turf, revegetation, shade & shelter, timber wood","bark, entire plant, seeds, stems"
2023,"environmental, fuels, material, medicinal","blood system applications, charcoal, digestive system applications, fuelwood, nutritional applications, ornamental/turf, shade & shelter, timber wood","bark, entire plant, stems"
202719,"environmental, food & beverage","erosion control, manure/fertilizer, protein, vitamins","entire plant, seeds"
2041,"environmental, material","ornamental/turf, shade & shelter, timber wood","bark, entire plant"
2047,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","blood system applications, charcoal, digestive system applications, dye/tannin, fuelwood, gums/resins, insects, lipids/oil & fats, minerals, ornamental/turf, protein, shade & shelter, skin applications, starch, timber wood, vitamins","bark, entire plant, exudates, fruits, leaves, seeds, stems"
2052,"environmental, fuels, medicinal","charcoal, digestive system applications, fuelwood, genitourinary system applications, living fence, ornamental/turf, shade & shelter","bark, entire plant, leaves, roots"
2054,"environmental, fuels, material, medicinal","agroforestry, charcoal, dye/tannin, fuelwood, ornamental/turf, revegetation, timber wood, Unspecified","bark, entire plant, leaves, seeds, stems"
2056,"animal food (feed), environmental, fuels, poison","agroforestry, cover crop, erosion control, fish, fuelwood, insects, mammals, manure/fertilizer, minerals, ornamental/turf, protein, revegetation, shade & shelter, vitamins","bark, entire plant, leaves, roots, stems"
205644,"food & beverage, food additive, material, medicinal","condiment/seasoning, essential oils, minerals, Unspecified, vitamins",fruits
2059,"environmental, medicinal, poison","cover crop, digestive system applications, fish, insects, living fence, mammals, manure/fertilizer, molluscs, nitrogen fixation, ornamental/turf, shade & shelter, skin applications","entire plant, leaves, roots"
2060,"environmental, material","paper, pioneer, revegetation, timber wood","bark, entire plant"
2061,material,timber wood,bark
2062,"environmental, food & beverage, fuels, material, non-vertebrate food","agroforestry, dye/tannin, erosion control, fuelwood, lipids/oil & fats, minerals, ornamental/turf, pioneer, shade & shelter, timber wood, vitamins","bark, entire plant, fruits, leaves, roots, seeds, stems"
2067,"environmental, material","paper, shade & shelter, timber wood","bark, entire plant"
2071,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
2073,animal food (feed),"minerals, vitamins",entire plant
2074,"animal food (feed), environmental, food & beverage, fuels, material, medicinal","cosmetics & perfumery, lipids, lipids/oil & fats, metabolic system applications, minerals, nervous system applications, non-wood fuel, nutritional applications, protein, respiratory applications, skin applications, soil improvers, vitamins","fruits, seeds"
2075,"animal food (feed), environmental, food & beverage, material, medicinal","blood system applications, digestive system applications, dye/tannin, erosion control, fibres, genitourinary system applications, immune system applications, manure/fertilizer, minerals, muscular/skeletal applications, nervous system applications, ornamental/turf, protein, sensory applications, skin applications, vitamins","bark, entire plant, fruits, leaves, stems, unspecified part"
2078,"environmental, medicinal, poison","digestive system applications, insects, ornamental/turf, skin applications","entire plant, leaves"
2087,"medicinal, poison","genitourinary system applications, mammals, nervous system applications","entire plant, roots, stems"
2090,material,timber wood,bark
209331,animal food (feed),"protein, vitamins",entire plant
209333,animal food (feed),"protein, vitamins",entire plant
2095,"environmental, food & beverage, fuels, material","agroforestry, charcoal, erosion control, fibres, fuelwood, living fence, minerals, ornamental/turf, paper, pioneer, shade & shelter, vitamins","bark, entire plant, fruits, stems"
2099,"food & beverage, material, medicinal","essential oils, immune system applications, minerals","exudates, leaves"
2100,"food & beverage, medicinal","minerals, Unspecified, vitamins","bulbs, fruits, leaves"
2104,"animal food (feed), environmental, food additive, material, medicinal","condiment/seasoning, dye/tannin, erosion control, genitourinary system applications, minerals, muscular/skeletal applications, protein, respiratory applications, vitamins","entire plant, flowers"
2105,"animal food (feed), environmental","erosion control, minerals, soil improvers, vitamins","entire plant, roots"
2107,"animal food (feed), environmental","cover crop, minerals, vitamins",entire plant
2108,"animal food (feed), environmental, material","erosion control, honey, protein, vitamins","entire plant, flowers"
2114,"animal food (feed), food & beverage, fuels, material, medicinal","digestive system applications, genitourinary system applications, gums/resins, immune system applications, minerals, nervous system applications, non-wood fuel, paper, protein, skin applications, starch, vitamins","leaves, seeds"
2119,"environmental, food additive, material, medicinal","condiment/seasoning, digestive system applications, lipids/oil & fats, ornamental/turf, respiratory applications","entire plant, fruits, leaves, seeds"
2120,food & beverage,"protein, starch, vitamins","leaves, roots"
2125,material,fibres,"bark, stems"
2131,"environmental, food additive, material, medicinal","agroforestry, condiment/seasoning, cosmetics & perfumery, digestive system applications, endocrine system applications, essential oils, metabolic system applications","entire plant, fruits"
2144,"animal food (feed), environmental, material","cosmetics & perfumery, erosion control, essential oils, living fence, minerals, pollution control, soil improvers, vitamins","entire plant, leaves, roots"
2146,"animal food (feed), environmental, food & beverage, medicinal","digestive system applications, minerals, protein, soil improvers, vitamins","entire plant, fruits, leaves, seeds"
2147,"animal food (feed), environmental, food & beverage, material, medicinal","cosmetics & perfumery, erosion control, manure/fertilizer, minerals, protein, Unspecified, vitamins","entire plant, seeds"
